Date,Open,High,Low,Close,Volume,Adj Close
2012-06-06,16100.36,16494.5,16100.36,16454.3,13600,16454.3
2012-06-07,16578.01,16680.59,16519.89,16649.05,11400,16649.05
2012-06-08,16611.52,16767.77,16485.02,16718.87,11800,16718.87
2012-06-11,16804.89,16893.81,16627.48,16668.01,8800,16668.01
2012-06-12,16570.51,16897.42,16553.47,16862.8,9800,16862.8
2012-06-13,16865.72,16944.11,16792.87,16880.51,9800,16880.51
2012-06-14,16857.23,16921.49,16658.98,16677.88,9200,16677.88
2012-06-15,16701.28,16967.76,16701.28,16949.83,10400,16949.83
2012-06-18,17039.54,17109.95,16636.09,16705.83,11400,16705.83
2012-06-19,16681.89,16890,16681.89,16859.8,9800,16859.8
2012-06-20,16903.96,16962.49,16840.1,16896.63,9200,16896.63
2012-06-21,16855.6,17050.44,16799.63,17032.56,10800,17032.56
2012-06-22,16882.74,17016.06,16807.8,16972.51,11800,16972.51
2012-06-25,17038.77,17131.15,16853.05,16882.16,10600,16882.16
2012-06-26,16873.09,16946.66,16815.87,16906.58,7400,16906.58
2012-06-27,16975.76,17029.27,16930.8,16967.76,6800,16967.76
2012-06-28,16985.58,17033.85,16918.87,16990.76,8800,16990.76
2012-06-29,17134.61,17448.48,17134.61,17429.98,13000,17429.98
2012-07-02,17438.68,17486.57,17363.04,17398.98,8600,17398.98
2012-07-03,17457.95,17526.82,17351.5,17425.71,9400,17425.71
2012-07-04,17473.26,17523.77,17372.45,17462.81,10200,17462.81
2012-07-05,17478.16,17562.89,17423.45,17538.67,8200,17538.67
2012-07-06,17546.04,17554.55,17425.47,17521.12,8000,17521.12
2012-07-09,17449.93,17485.79,17343.55,17391.98,7200,17391.98
2012-07-10,17431.68,17631.19,17424.29,17618.35,8800,17618.35
2012-07-11,17553.97,17582.99,17466.99,17489.14,7800,17489.14
2012-07-12,17297.06,17329.46,17181.17,17232.55,11800,17232.55
2012-07-13,17269.2,17342.88,17182.29,17213.7,7600,17213.7
2012-07-16,17241.98,17282.3,17079.63,17103.31,7600,17103.31
2012-07-17,17176.93,17236.08,17074.63,17105.3,9200,17105.3
2012-07-18,17113.37,17205.26,17038.59,17185.01,17600,17185.01
2012-07-19,17288.34,17318.93,17244.76,17278.85,8000,17278.85
2012-07-20,17275.2,17275.2,17129.69,17158.44,6400,17158.44
2012-07-23,17047.73,17047.73,16849.28,16877.35,8000,16877.35
2012-07-24,16907.74,16962.74,16839.7,16918.08,12400,16918.08
2012-07-25,16899.01,16899.01,16736.6,16846.05,10800,16846.05
2012-07-26,16887.84,16899.77,16598.48,16639.82,12800,16639.82
2012-07-27,16860.16,16975.03,16760.72,16839.19,11400,16839.19
2012-07-30,16919.14,17163.95,16919.14,17143.68,8000,17143.68
2012-07-31,17186.61,17253.67,17004.09,17236.18,10400,17236.18
2012-08-01,17244.44,17291.99,17189.16,17257.38,9200,17257.38
2012-08-02,17245.68,17246.01,17157.28,17224.36,15200,17224.36
2012-08-03,17164.48,17208.36,17026.97,17197.93,7600,17197.93
2012-08-06,17313.05,17451.53,17313.05,17412.96,6600,17412.96
